input,output,complexity,model,strategy,image_detail,duration_ms,sfc_bytes,sfc_lines,ast_depth_approx,parse_ok,input_tokens,cached_tokens,cache_discount,output_tokens,context_tokens,context_components,stop_reason,cost_usd,error
medium-2,2-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,17029.0532,4455,125,39,True,20576,1203,,1953,0,0,stop,0.0585166,
medium-3,3-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,7798.5191,1402,35,12,True,4529,1203,,597,0,0,stop,0.0128626,
medium-4,4-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,7699.6176,1103,44,8,True,6845,1203,,510,0,0,stop,0.0166246,
medium-5,5-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,9084.971,1560,40,12,True,8470,1203,,644,0,0,stop,0.0212146,
medium-6,6-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,11744.8854,3106,46,18,True,7292,1203,,1332,0,0,stop,0.0257386,
medium-7,7-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,6908.0284,1557,46,19,True,7788,1203,,645,0,0,stop,0.0198606,
medium-8,8-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,8190.4321,1863,66,11,True,6940,1203,,725,0,0,stop,0.0189646,
medium-9,9-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,9478.8194,2619,72,27,True,13119,1203,,1011,0,0,stop,0.0341826,
simple-1,1-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,4811.1367,477,21,3,True,4464,1203,,196,0,0,stop,0.0087226,
simple-10,10-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,8887.9387,2242,70,18,True,12300,1203,,896,0,0,stop,0.0313946,
simple-2,2-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,4624.1693,424,18,5,True,2690,1203,,191,0,0,stop,0.0051246,
simple-3,3-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,5910.6627,701,30,6,True,5899,1203,,298,0,0,stop,0.0126126,
simple-4,4-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,5803.3571,1149,31,11,True,6960,1203,,466,0,0,stop,0.0164146,
simple-5,5-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,5237.0467,687,27,5,True,4915,1203,,296,0,0,stop,0.0106246,
simple-6,6-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,4277.2253,393,14,3,True,3073,1203,,178,0,0,stop,0.0057606,
simple-7,7-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,3880.6896,321,12,3,True,2497,1203,,150,0,0,stop,0.0043286,
simple-8,8-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,5110.6255,722,27,6,True,4452,1203,,293,0,0,stop,0.0096686,
simple-9,9-d1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d1,high,6750.8855,868,27,6,True,6241,1203,,399,0,0,stop,0.0143066,
hard-1,1-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,14152.1933,1906,67,12,True,85381,1203,,732,46713,5,stop,0.2117721,
hard-10,10-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,16436.7678,3670,140,20,True,94519,1203,,1431,39206,3,stop,0.2302331,
hard-2,2-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,9964.0892,1525,40,12,True,50926,1203,,622,20668,1,stop,0.1210096,
hard-3,3-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,10284.1413,2034,76,17,True,127350,1203,,852,51397,5,stop,0.2998636,
hard-4,4-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,9916.7864,2465,89,12,True,83671,59304,,988,39206,3,stop,0.0704748,
hard-5,5-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,15384.3918,5214,155,39,True,61746,1203,,1905,31603,3,stop,0.1652631,
hard-6,6-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,5721.7216,567,28,3,True,35741,1203,,258,17949,2,stop,0.0854436,
hard-7,7-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,11052.6357,2452,83,15,True,60293,1203,,1074,25693,5,stop,0.1491256,
hard-8,8-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,14653.0163,3012,75,31,True,44226,1203,,1205,23361,3,stop,0.1163751,
hard-9,9-d2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d2,high,14842.5806,4310,144,28,True,107466,1203,,1501,57675,8,stop,0.2725006,
medium-1,1-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,9921.3874,2549,77,23,True,62809,1203,,929,35276,5,stop,0.1593831,
medium-10,10-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,5815.64,960,34,12,True,31070,1203,,380,17281,3,stop,0.0767876,
medium-2,2-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,13363.1136,2698,77,31,True,32444,1203,,1369,7257,1,stop,0.0823471,
medium-3,3-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,7031.8093,1375,36,12,True,16946,1203,,576,8094,1,stop,0.0436956,
medium-4,4-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,7577.889,950,42,3,True,35443,1203,,438,18910,3,stop,0.0874001,
medium-5,5-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,14092.5517,1546,40,12,True,56846,1203,,616,31756,5,stop,0.1418751,
medium-6,6-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,11965.8158,3409,57,23,True,25733,1203,,1442,11426,3,stop,0.0729416,
medium-7,7-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,9304.8232,1526,41,16,True,41912,1203,,639,22490,4,stop,0.1051111,
medium-8,8-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,7576.0627,1492,53,9,True,41621,1203,,560,22295,3,stop,0.1040176,
medium-9,9-d2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d2,high,12685.9746,2585,72,27,True,24987,13072,,981,7257,1,stop,0.0362544,
simple-1,1-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,8181.9489,495,24,3,True,48972,1203,,199,29430,3,stop,0.1200231,
simple-10,10-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,9472.8978,2111,66,16,True,73956,1203,,842,40224,6,stop,0.1849951,
simple-2,2-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,4334.6233,425,13,5,True,10187,1203,,189,4603,2,stop,0.0238476,
simple-3,3-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,6755.173,705,29,6,True,30933,1203,,298,16375,3,stop,0.0751981,
simple-4,4-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,6137.1064,1195,31,11,True,21356,1203,,487,9167,2,stop,0.0526151,
simple-5,5-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,6428.5533,767,32,5,True,43487,1203,,331,25384,3,stop,0.1074051,
simple-6,6-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,5009.2266,405,14,5,True,8079,1203,,183,3145,2,stop,0.0183261,
simple-7,7-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,3785.8365,369,12,7,True,7367,1203,,169,3137,1,stop,0.0166941,
simple-8,8-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,5266.3465,779,32,6,True,36847,1203,,307,21343,2,stop,0.0907966,
simple-9,9-d2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d2,high,5986.2745,906,23,6,True,16157,1203,,424,6386,2,stop,0.0393471,
hard-1,1-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,8049.7441,1754,60,12,True,30848,1203,,676,11527,5,stop,0.0748796,
hard-10,10-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,12196.4936,3427,127,20,True,47036,1203,,1349,7071,3,stop,0.1107056,
hard-2,2-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,8794.3132,1505,40,12,True,24392,1203,,618,2483,1,stop,0.0546346,
hard-3,3-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,8985.5118,1889,68,17,True,68904,1203,,768,12942,5,stop,0.1529086,
hard-4,4-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,12170.5484,2688,112,12,True,36188,11821,,1103,7071,3,stop,0.0621282,
hard-5,5-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,22474.211,4935,130,41,True,22465,1203,,2048,6819,3,stop,0.0684906,
hard-6,6-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,5262.5332,654,29,3,True,17117,1203,,292,5721,2,stop,0.0392236,
hard-7,7-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,9974.7066,2246,81,15,True,29405,1203,,987,5853,5,stop,0.0710356,
hard-8,8-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,13146.771,3056,77,26,True,17368,1203,,1207,5970,3,stop,0.0492501,
hard-9,9-d3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d3,high,13003.0067,3474,112,24,True,41596,1203,,1330,15478,8,stop,0.1061156,
medium-1,1-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,10013.3741,2545,76,23,True,29460,1203,,961,13115,5,stop,0.0763306,
medium-10,10-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,5934.5047,960,34,12,True,12039,1203,,380,4603,3,stop,0.0292101,
medium-2,2-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,18113.8489,5059,134,49,True,23227,1203,,2208,1643,1,stop,0.0676946,
medium-3,3-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,6650.2512,1345,30,12,True,7368,1203,,585,1814,1,stop,0.0198406,
medium-4,4-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,6957.9957,1138,46,7,True,13766,1203,,511,4538,3,stop,0.0339376,
medium-5,5-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,12278.4221,1863,50,12,True,23571,1203,,736,9981,5,stop,0.0598876,
medium-6,6-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,11973.2013,3390,56,22,True,11362,1203,,1448,2582,3,stop,0.0370741,
medium-7,7-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,7029.9158,1598,46,18,True,15785,1203,,631,5319,4,stop,0.0397136,
medium-8,8-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,6474.978,1364,49,9,True,14698,1203,,520,4987,3,stop,0.0363101,
medium-9,9-d3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d3,high,9243.0472,2614,72,27,True,15770,3855,,1005,1643,1,stop,0.034651,
simple-1,1-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,4806.6897,412,20,3,True,22792,1203,,170,11981,3,stop,0.0542831,
simple-10,10-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,13900.7704,2306,70,18,True,28972,1203,,930,11011,6,stop,0.0734151,
simple-2,2-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,4554.975,443,16,5,True,3826,1203,,194,721,2,stop,0.0079951,
simple-3,3-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,4321.0607,479,21,3,True,14552,1203,,212,5782,3,stop,0.0333856,
simple-4,4-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,5245.997,1049,37,11,True,9000,1203,,419,1304,2,stop,0.0210451,
simple-5,5-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,5597.05,695,27,5,True,17047,1203,,299,8006,3,stop,0.0409851,
simple-6,6-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,4071.964,383,14,3,True,4048,1203,,176,638,2,stop,0.0081786,
simple-7,7-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,4081.5558,370,12,7,True,3218,1203,,176,441,1,stop,0.0063916,
simple-8,8-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,6267.9827,732,27,6,True,15918,1203,,292,7476,2,stop,0.0383241,
simple-9,9-d3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,d3,high,7334.3174,1224,35,12,True,7671,1203,,526,992,2,stop,0.0191521,
hard-1,1-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,16729.6035,3211,104,14,True,9061,0,,1429,0,0,stop,0.024874375,
hard-10,10-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,15130.7638,4905,169,21,True,23223,0,,1848,0,0,stop,0.050145,
hard-2,2-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,3875.5925,1831,74,12,True,13595,0,,551,0,0,stop,0.02537375,
hard-3,3-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,18291.8394,3173,98,18,True,32636,0,,1810,0,0,stop,0.0645678125,
hard-4,4-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,12899.7831,2995,97,11,True,16621,0,,1294,0,0,stop,0.035674375,
hard-5,5-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,16070.833,5356,151,40,True,7838,0,,1900,0,0,stop,0.0264959375,
hard-6,6-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,19852.5476,2830,89,10,True,5731,0,,1737,0,0,stop,0.02198125,
hard-7,7-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,7565.0671,4439,108,33,True,13590,0,,1232,0,0,stop,0.0304734375,
hard-8,8-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,18046.3569,4621,119,24,True,5396,0,,1572,0,0,stop,0.0202203125,
hard-9,9-d1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d1,high,15100.0361,4615,122,24,True,11835,0,,1828,0,0,stop,0.03220125,
medium-1,1-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,19501.5464,3831,85,22,True,6334,0,,1649,0,0,stop,0.0222634375,
medium-10,10-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,3231.2646,1255,36,11,True,3339,0,,339,0,0,stop,0.00775875,
medium-2,2-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,16341.4395,7699,175,42,True,13580,0,,1891,0,0,stop,0.0354003125,
medium-3,3-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,10566.7922,2035,47,16,True,2984,0,,914,0,0,stop,0.0115165625,
medium-4,4-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,17032.9542,1925,83,9,True,4556,0,,1497,0,0,stop,0.0183453125,
medium-5,5-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,31902.3371,4640,106,19,True,5589,0,,3135,0,0,stop,0.032244375,
medium-6,6-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,18605.6213,2797,71,18,True,4783,0,,1624,0,0,stop,0.0196525,
medium-7,7-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,8397.4962,2749,96,15,True,5142,0,,1069,0,0,stop,0.0160509375,
medium-8,8-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,4925.2017,1686,53,9,True,4645,0,,584,0,0,stop,0.011636875,
medium-9,9-d1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d1,high,14427.8715,3113,88,27,True,8649,0,,1353,0,0,stop,0.023660625,
simple-1,1-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,3464.571,515,24,3,True,2905,0,,150,0,0,stop,0.005663125,
simple-10,10-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,12168.9842,2948,101,13,True,8481,0,,1303,0,0,stop,0.023023125,
simple-2,2-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,1528.5888,441,14,5,True,1771,0,,133,0,0,stop,0.00376375,
simple-3,3-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,18023.0691,1844,95,4,True,3959,0,,1633,0,0,stop,0.0184325,
simple-4,4-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,3434.0999,1435,37,11,True,4778,0,,438,0,0,stop,0.0107496875,
simple-5,5-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,2095.1109,734,33,5,True,3280,0,,194,0,0,stop,0.0065790625,
simple-6,6-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,1411.531,367,14,3,True,2038,0,,107,0,0,stop,0.0039859375,
simple-7,7-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,2251.9848,321,12,3,True,1688,0,,99,0,0,stop,0.0033790625,
simple-8,8-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,7058.5954,914,38,6,True,2922,0,,246,0,0,stop,0.0064096875,
simple-9,9-d1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d1,high,2450.9299,1157,37,12,True,4245,0,,355,0,0,stop,0.009294375,
hard-1,1-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,21156.1434,3913,101,13,True,55583,0,,1951,46713,5,stop,0.10148,
hard-10,10-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,14876.0812,6162,177,21,True,60403,0,,1776,39206,3,stop,0.10769875,
hard-2,2-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,11026.7644,2075,53,13,True,32621,0,,1036,20668,1,stop,0.058739375,
hard-3,3-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,30693.1238,2787,95,13,True,82738,0,,2170,51397,5,stop,0.1455521875,
hard-4,4-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,16355.6471,4763,130,11,True,53801,37868,,1813,39206,3,stop,0.043225375,
hard-5,5-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,15546.7227,7106,148,42,True,39050,0,,2021,31603,3,stop,0.0761721875,
hard-6,6-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,10845.8922,1473,52,3,True,23605,0,,953,17949,2,stop,0.044029375,
hard-7,7-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,21286.658,6353,131,33,True,38634,0,,2527,25693,5,stop,0.0793171875,
hard-8,8-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,15227.3815,3685,76,25,True,27860,0,,1375,23361,3,stop,0.0538428125,
hard-9,9-d2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d2,high,26105.5274,5803,138,25,True,68923,0,,2643,57675,8,stop,0.12751375,
medium-1,1-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,20162.0667,4186,75,24,True,41316,0,,2086,35276,5,stop,0.0802003125,
medium-10,10-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,3404.675,1394,34,13,True,20201,0,,327,17281,3,stop,0.034015625,
medium-2,2-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,21165.1502,7080,147,44,True,20303,0,,2432,7257,1,stop,0.0499625,
medium-3,3-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,8027.894,3086,77,13,True,9790,0,,962,8094,1,stop,0.0225109375,
medium-4,4-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,17212.3349,1820,57,10,True,23454,0,,1489,18910,3,stop,0.0478134375,
medium-5,5-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,14765.12,4195,74,24,True,37103,0,,1689,31756,5,stop,0.07064,
medium-6,6-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,14429.7404,2960,61,18,True,15733,0,,1044,11426,3,stop,0.032411875,
medium-7,7-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,12485.7285,3085,72,14,True,26973,0,,1192,22490,4,stop,0.051084375,
medium-8,8-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,13816.4902,2236,55,9,True,26458,0,,1032,22295,3,stop,0.0490796875,
medium-9,9-d2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,d2,high,11664.7525,3311,80,27,True,15372,7411,,1239,7257,1,stop,0.022657,
simple-1,1-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,9170.6285,704,26,3,True,32423,0,,448,29430,3,stop,0.05402,
simple-10,10-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,12454.1445,3775,95,18,True,47880,0,,1494,40224,6,stop,0.0860165625,
simple-2,2-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,1596.3309,540,19,5,True,6585,0,,152,4603,2,stop,0.011428125,
simple-3,3-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,15252.4557,2805,125,7,True,20421,0,,1598,16375,3,stop,0.043891875,
simple-4,4-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,9450.4769,2464,61,11,True,13368,0,,1188,9167,2,stop,0.0297965625,
simple-5,5-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,2812.6807,891,31,5,True,28402,0,,211,25384,3,stop,0.0459596875,
simple-6,6-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,2275.6279,809,29,3,True,5085,0,,213,3145,2,stop,0.009541875,
simple-7,7-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,1406.4519,370,12,3,True,4709,0,,109,3137,1,stop,0.008174375,
simple-8,8-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,4329.4604,1127,32,7,True,24268,0,,293,21343,2,stop,0.0401153125,
simple-9,9-d2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,d2,high,3413.2204,1241,37,12,True,10335,0,,361,6386,2,stop,0.018855,
hard-1,1-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,16921.9472,4465,102,17,True,21047,0,,1776,11527,5,stop,0.046205,
hard-10,10-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,16731.8616,7195,180,21,True,30495,0,,2250,7071,3,stop,0.0645225,
hard-2,2-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,9412.3831,2899,90,13,True,15980,0,,1048,2483,1,stop,0.0328278125,
hard-3,3-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,23140.3999,3076,93,10,True,45928,0,,2144,12942,5,stop,0.0878415625,
hard-4,4-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,16649.1914,3382,84,11,True,23893,7960,,1421,7071,3,stop,0.036546875,
hard-5,5-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,23858.674,6263,129,41,True,14847,0,,2585,6819,3,stop,0.042585,
hard-6,6-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,12373.956,2587,92,8,True,11634,0,,1228,5721,2,stop,0.0273871875,
hard-7,7-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,15245.8732,4606,104,33,True,19723,0,,1884,5853,5,stop,0.04494625,
hard-8,8-d3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,d3,high,20201.3829,4756,94,26,True,11547,0,,2068,5970,3,stop,0.03355125,
